ligne;min;arrêt
A;0;Rive
A;3;Place des Eaux-Vives
A;5;31.déc
A;7;Genève-Eaux-Vives-Gare/Bloch
A;10;Genève-Eaux-Vives-Gare/Vadier
A;12;Pré-Picot
A;15;Gradelle
A;16;Le-Fort
A;18;Cologny-Croisée
A;19;Cologny-Temple
A;20;Chemin des Fours
A;20;Cologny-Mairie
A;21;Fraidieu
A;22;Bessinge
A;23;Rippaz
A;25;Chemin des Princes
A;25;Capite
A;26;Crêts-de-La-Capite
A;27;Bonvard
A;28;Rouette
A;30;Carre-d'Amont
A;32;Meinier-Pralys
A;33;Meinier-Tour
A;33;Meinier-Eglise
A;34;Route de Corsinge
A;36;Merlinge
A;37;La Chêna
A;37;Baraque-à-Cloud
A;38;Turaines
A;38;Gy-Temple
45;0;Carouge-Tours
45;6;Carouge-Rondeau
45;8;Grange-Collomb
45;9;Chemin Vert
45;10;Plateau de Pinchat
45;11;Combettes
45;12;Rivolette
45;13;Les Crêts
45;14;Pont-de-Drize
45;14;Saussac
45;15;Troinex-Mairie
45;16;Troinex-Ville
1;0;Hôpital Trois-Chêne
1;2;Belle-Idée-Centre
1;3;Belle-Idée-Réception
1;4;Petit-Bel-Air
1;5;Seymaz
1;7;Montagne
1;8;Castan
1;9;Coq-d'Inde
1;11;Fourches
1;12;Chemin de l'Eperon
1;13;Clos du Môlan
1;13;Gradelle
1;17;Pré-Picot
1;19;Genève-Eaux-Vives-Gare/Vadier
1;22;Genève-Eaux-Vives-Gare/Bloch
1;24;31.déc
1;27;Terrassière
1;29;Tranchées
1;30;Florissant
1;33;Claparède
1;33;Hôpital
1;36;Philosophes
1;37;Plainpalais
1;40;Cirque
1;42;Stand
1;45;Goulart
1;47;Gare Cornavin
1;50;Monthoux
1;51;Navigation
1;52;Gautier
1;53;De-Chateaubriand
1;54;Perle du Lac
1;55;Jardin Botanique
3;0;Gardiol
3;1;Giacometti
3;4;Maison des Parlements
3;6;Colladon
3;7;Tourelle
3;8;Petit-Saconnex
3;10;Moillebeau
3;12;Trembley
3;14;Grand-Pré
3;15;Servette
3;17;Poterie
3;19;Lyon
3;22;Coutance
3;24;Bel-Air
3;26;Bovy-Lysberg
3;27;Place de Neuve
3;28;Palais Eynard
3;30;Athénée
3;33;Claparède
3;35;Genève-Champel-Gare
3;35;Calas
3;37;Gos
3;38;Miremont
3;40;Crêts-de-Champel
10;0;Aéroport
10;1;WTC
10;2;Tour-de-Contrôle
10;4;De-Joinville
10;6;Floralies
10;7;Balexert-Pailly
10;9;Bouchet
10;11;Franchises
10;14;Guye
10;16;Charmilles
10;18;Dôle
10;20;Prairie
10;22;Gare Cornavin
10;24;Coutance
10;26;Bel-Air
10;29;Molard
10;30;Rive
19;0;Vernier-Village
19;1;Vernier-Marché
19;3;Vernier-Ecole
19;4;Champ-Claude
19;5;Vernier-Gare/Croisette
19;9;De-Sauvage
19;10;Bois-des-Frères
19;12;Châtelaine
19;14;Les Ouches
19;16;Guye
19;17;Charmilles
19;19;Dôle
19;21;Prairie
19;23;Gare Cornavin
19;25;Coutance
19;27;Bel-Air
19;29;Théâtre
19;30;Cirque
19;33;Musée d'ethnographie
19;35;Sainte-Clotilde
19;36;Jonction
19;39;Claire-Vue
19;41;Les Marbriers
19;42;Cimetière Saint-Georges
19;44;Chemin du Bac
19;46;De-Ternier
19;47;Onex-Marché
19;48;Evaux
19;49;Onex-Cité
